Actual,Bacterial_spot,Early_blight,Late_blight,Leaf_Mold,Septoria_leaf_spot,Target_Spot,Yellow_Leaf_Curl,healthy,mosaic_virus,spider_mite
Bacterial_spot,142,1,5,9,2,0,1,8,2,36
Early_blight,11,15,14,5,14,0,3,11,5,25
Late_blight,1,3,2,1,1,0,0,173,0,4
Leaf_Mold,5,0,61,5,1,0,0,4,2,9
Septoria_leaf_spot,9,5,13,74,9,2,5,33,9,24
Target_Spot,4,4,1,9,63,0,19,4,22,11
Yellow_Leaf_Curl,29,10,10,5,11,1,2,13,10,457
healthy,1,2,3,3,16,1,119,5,5,4
mosaic_virus,0,0,0,1,0,34,1,0,1,2
spider_mite,2,3,2,4,18,2,6,5,113,14
